V1,V2,V3,V4,V5,V6,V8,V9,V10,V11,V12,V14,V15,V16,V18,V19,V20,V21,V22,V23,V24,V25,V27,V28,V29,V30,V31,V32,V33,V35,V36,V37,V38,V39
174.34,285.28,263.9,165.75,206.27,211.78,217.19,224.38,200.45,266.56,199.83,207.76,314.25,235.26,180.48,247.76,205.74,205.21,117.58,187.73,266.31,297.58,200.83,213.23,248.81,315.44,169.08,238.08,269.7,235.69,196.39,182.21,258.61,299.39
153.09,246.38,239.06,157.35,207.18,168.91,186.25,190.11,210.25,286.07,197.18,179.41,223.95,221.91,160.12,218.95,167.64,269.71,180.47,228.68,240.66,244.21,218.11,203.54,216.84,248.91,134.11,250.48,214.25,240.72,122.195,170.83,227.17,276.41
117.02,157.31,172.99,96.97,167.31,96.84,114.95,136.85,129.71,169.68,129.45,112.26,191.76,130.6,94.28,122.06,126.07,182.95,125.16,149.53,165.55,153.63,129.2,111.86,175.47,216.19,96.15,246.94,144.68,156.3,48,129.81,132.82,175.47
131.63,186.53,195.48,129.93,205.89,132.85,149.55,163.65,185.41,245.79,157.28,130.37,243.48,166.62,110,150.76,139.46,224.98,142.08,154.98,192.62,209.44,163.23,148.95,161.66,234.92,106.81,243.4,191.86,179.48,90.895,147.73,158.06,184.04
187.95,241.48,232.44,140.68,222.71,184.1,189.76,219.67,186.47,281.4,228.92,151,298.72,216.88,168.07,190.36,164.59,259.39,176.58,206.98,254.32,250.6,207.29,178.84,194.09,272.61,139.06,239.86,229.38,244.32,133.79,184.12,197.14,254.09
185.11,237.83,232.92,138.77,240.43,158.45,190.44,215.53,206.29,295.81,154.62,145.02,283.38,212.47,145.79,179.06,158.36,304.21,191.73,206.04,245.54,247.09,210.62,171.54,183.28,277.07,122.83,236.32,222.37,257.42,176.685,185.42,198.04,315.94
234.19,305.71,257.15,146.27,314.79,203.21,228.22,264.52,236.14,341.52,189.13,179.06,330.45,239.42,168.48,232.45,178.71,381.35,188.51,224.46,283.2,270.35,248.23,202.85,205.54,302.66,160.22,232.78,266.52,334.06,219.58,207.25,232.08,275.45
323.77,453.92,375.88,208.45,378.55,301.1,272.6,352.16,299,389.33,268.19,282.91,432,355.08,242.76,347.44,252.1,428.74,191.4,338.24,449.86,410.26,347.94,337.1,338.17,384.79,239.89,229.24,398.68,480.89,324.12,269.73,358.24,427.15
259.03,395.16,355.79,213.82,404.77,276.42,218.48,352.36,262.34,365.79,279.79,273.29,366.21,363.26,266.98,341.81,248.76,307.92,303.51,323.7,353.8,412.19,328.96,357.15,319.96,297.62,208.27,225.7,380.79,391.87,330.69,275.23,394.07,459.36
251.84,311.17,307.27,181.7,301.73,252.65,190.44,294.4,238.9,305.59,201.73,216.36,339.54,267.53,212.38,262.67,218.81,240.67,228.12,274.7,286.59,380.6,260.85,244.04,260.45,278.77,170.81,222.16,289.34,359.47,312.58,245.75,295.52,351.02
241.8,343.06,296.33,188.23,264.69,217.12,243.22,223.29,272.73,314.26,199.55,222.83,324.44,287.14,215.03,289.25,236.98,260.15,245.25,230.9,308.48,350.93,281.67,280.4,250.83,337.43,194.42,218.62,257.83,308.72,265.67,249.21,299.98,360.45
195.05,286.77,240.73,154.55,209.74,173.65,198.81,200.73,211.83,241.46,160.14,171.92,279.76,223.42,158.01,220.19,187.65,159.44,167.73,170.27,267.68,276.4,221.82,205.71,201.88,260.86,151.37,215.08,230.99,259.38,209.08,187.81,231.6,278.49
263.88,397.29,334.19,153.54,258.26,233.12,238.11,178.17,207.47,289.78,202.45,196.96,415.45,225.93,146.76,218.01,205.89,280.56,94.04,220.65,292.73,345.37,243.01,247.29,268.25,245.33,152.05,211.54,303.46,365.38,260.42,146.12,347.94,365.48
336.29,721.48,484.65,264.96,429.92,386.83,363.98,155.61,325.01,460.98,309.78,349.39,505.79,383.39,260.22,357.74,354.45,553.93,288.31,407.06,449.61,557.69,426.53,404.51,479.51,290.6,248.17,208,508.33,481.45,371.1,270.73,541.67,655.21
297.04,293.14,288.19,163.34,309.18,222.15,213.76,133.05,234.76,247.7,181.08,253.83,314.17,272.15,208.68,266.88,278.16,296.83,198.29,370.99,273.32,346.9,267.79,232.91,249.04,236.32,173.07,204.46,274.45,293.26,301.25,193,279.42,390.42
97.62,288.11,132.79,93.89,129,139.43,87.6,110.49,84.46,117.35,97.73,87.72,117.42,102.94,73.93,87.43,131.4,108.38,99.65,128.13,101.49,125.79,99.73,83.95,110.58,97.75,66.8,103.26,105.88,121.9,107.17,93.38,99.42,202.33
